channel,structural_family,offdiag_mass,max_rel_dev_numeric_vs_analytic,lambda_worst_numeric,lambda_worst_analytic,spectral_anisotropy,kernel_dim,n_protected_pairs,protection_components,component_sizes,form_certificate_maxdev
amp_damp,potential (Schroedinger),0.0,1.1013412404281553e-13,0.9999999999998899,1.0,0.0,0.0,0.0,8.0,"[1, 1, 1, 1, 1, 1]",0.0
dephase,difference (Laplacian),0.0,0.001000000000194401,3.9959999999998885,4.0,1.6670015384762574e-13,0.0,0.0,8.0,"[1, 1, 1, 1, 1, 1]",8.881784197001252e-16
depol,affine in Hamming distance,0.0,0.0028620490342458286,6.647586339771916,6.666666666666666,3.340228972981641e-14,0.0,0.0,8.0,"[1, 1, 1, 1, 1, 1]",
x_err,affine in Hamming distance,0.000124671861692626,0.0034930087430958823,7.973049945035248,8.0,0.0002493437233850292,0.0,0.0,8.0,"[1, 1, 1, 1, 1, 1]",
biased_pauli,affine in Hamming distance,2.2184666282160388e-05,0.003127757293536574,7.177639381021346,7.2,4.436933262693334e-05,0.0,0.0,8.0,"[1, 1, 1, 1, 1, 1]",
inhom_dephase,difference (Laplacian),0.0,0.0014250000001317042,5.706142857142105,5.714285714285714,0.5996545076734296,0.0,0.0,8.0,"[1, 1, 1, 1, 1, 1]",8.881784197001252e-16
site_amp_damp,potential (Schroedinger),0.0,8.75875929679637e-05,1.4285739832412547,1.4285714285714286,0.5999989285742516,0.0,0.0,8.0,"[1, 1, 1, 1, 1, 1]",0.0
corr_dephase,difference (Laplacian),1.4817791453121465e-16,0.0009999999999723563,3.9960000000001106,4.0,1.0,8.0,8.0,4.0,"[2, 2, 2, 2]",8.881784197001252e-16
coh_diss_mix,potential (Schroedinger),0.0,1.1013412404281553e-13,0.9999999999998899,1.0,0.0,0.0,0.0,8.0,"[1, 1, 1, 1, 1, 1]",0.0
site_z_overrotation,pure coherent (signed),0.0,0.0004999999583255033,0.0004999999583255033,0.0,,,,,,
