channel,a,b,rate_numeric,rate_analytic
amp_damp,1,2,0.9999999999998899,1.0
amp_damp,1,4,0.9999999999998899,1.0
amp_damp,1,8,0.9999999999998899,1.0
amp_damp,1,16,0.9999999999998899,1.0
amp_damp,1,32,0.9999999999998899,1.0
amp_damp,1,64,0.9999999999998899,1.0
amp_damp,1,128,0.9999999999998899,1.0
amp_damp,2,1,0.9999999999998899,1.0
amp_damp,2,4,0.9999999999998899,1.0
amp_damp,2,8,0.9999999999998899,1.0
amp_damp,2,16,0.9999999999998899,1.0
amp_damp,2,32,0.9999999999998899,1.0
amp_damp,2,64,0.9999999999998899,1.0
amp_damp,2,128,0.9999999999998899,1.0
amp_damp,4,1,0.9999999999998899,1.0
amp_damp,4,2,0.9999999999998899,1.0
amp_damp,4,8,0.9999999999998899,1.0
amp_damp,4,16,0.9999999999998899,1.0
amp_damp,4,32,0.9999999999998899,1.0
amp_damp,4,64,0.9999999999998899,1.0
amp_damp,4,128,0.9999999999998899,1.0
amp_damp,8,1,0.9999999999998899,1.0
amp_damp,8,2,0.9999999999998899,1.0
amp_damp,8,4,0.9999999999998899,1.0
amp_damp,8,16,0.9999999999998899,1.0
amp_damp,8,32,0.9999999999998899,1.0
amp_damp,8,64,0.9999999999998899,1.0
amp_damp,8,128,0.9999999999998899,1.0
amp_damp,16,1,0.9999999999998899,1.0
amp_damp,16,2,0.9999999999998899,1.0
amp_damp,16,4,0.9999999999998899,1.0
amp_damp,16,8,0.9999999999998899,1.0
amp_damp,16,32,0.9999999999998899,1.0
amp_damp,16,64,0.9999999999998899,1.0
amp_damp,16,128,0.9999999999998899,1.0
amp_damp,32,1,0.9999999999998899,1.0
amp_damp,32,2,0.9999999999998899,1.0
amp_damp,32,4,0.9999999999998899,1.0
amp_damp,32,8,0.9999999999998899,1.0
amp_damp,32,16,0.9999999999998899,1.0
amp_damp,32,64,0.9999999999998899,1.0
amp_damp,32,128,0.9999999999998899,1.0
amp_damp,64,1,0.9999999999998899,1.0
amp_damp,64,2,0.9999999999998899,1.0
amp_damp,64,4,0.9999999999998899,1.0
amp_damp,64,8,0.9999999999998899,1.0
amp_damp,64,16,0.9999999999998899,1.0
amp_damp,64,32,0.9999999999998899,1.0
amp_damp,64,128,0.9999999999998899,1.0
amp_damp,128,1,0.9999999999998899,1.0
amp_damp,128,2,0.9999999999998899,1.0
amp_damp,128,4,0.9999999999998899,1.0
amp_damp,128,8,0.9999999999998899,1.0
amp_damp,128,16,0.9999999999998899,1.0
amp_damp,128,32,0.9999999999998899,1.0
amp_damp,128,64,0.9999999999998899,1.0
dephase,1,2,3.9959999999992224,4.0
dephase,1,4,3.9959999999992224,4.0
dephase,1,8,3.9959999999992224,4.0
dephase,1,16,3.9959999999992224,4.0
