channel,ell,q,lambda_mode,support_cut_bound,phi_unprotected,lambda_coh,bound_holds
amp_damp,1,0,0.9999999999998899,0.9999999999998899,1.0,0.9999999999998899,True
amp_damp,1,1,0.9999999999998899,0.9999999999998899,1.0,0.9999999999998899,True
amp_damp,2,0,0.9999999999998899,0.9999999999998899,1.0,0.9999999999998899,True
amp_damp,2,1,0.9999999999998899,0.9999999999998899,1.0,0.9999999999998899,True
dephase,1,0,3.9959999999992233,3.9959999999992215,1.0,3.9959999999998885,True
dephase,1,1,3.995999999999222,3.9959999999992215,1.0,3.9959999999998885,True
dephase,2,0,3.995999999999222,3.995999999999222,1.0,3.9959999999998885,True
dephase,2,1,3.995999999999222,3.995999999999222,1.0,3.9959999999998885,True
depol,1,0,6.647586339771772,6.647586339771694,1.0,6.647586339771916,True
depol,1,1,6.647586339771914,6.647586339771694,1.0,6.647586339771916,True
depol,2,0,6.647586339771917,6.647586339771694,1.0,6.647586339771916,True
depol,2,1,6.647586339771917,6.647586339771694,1.0,6.647586339771916,True
inhom_dephase,1,0,3.854828196390481,2.284428571428299,1.0,5.706142857142105,True
inhom_dephase,1,1,2.287806148734762,2.284428571428299,1.0,5.706142857142105,True
inhom_dephase,2,0,2.2844285714282986,2.2844285714282986,1.0,5.706142857142105,True
inhom_dephase,2,1,2.2844285714282986,2.2844285714282986,1.0,5.706142857142105,True
site_amp_damp,1,0,0.9645328907602841,0.571431123907451,1.0,1.4285739832412547,True
site_amp_damp,1,1,0.5722764650168808,0.571431123907451,1.0,1.4285739832412547,True
site_amp_damp,2,0,0.571431123907451,0.571431123907451,1.0,1.4285739832412547,True
site_amp_damp,2,1,0.571431123907451,0.571431123907451,1.0,1.4285739832412547,True
corr_dephase,1,0,3.8712595811782586,3.8712595811782577,0.9687836789735114,3.9960000000001106,True
corr_dephase,1,1,0.03968297491249697,0.03968297491249696,0.009930674402526495,3.9960000000001106,True
corr_dephase,2,0,0.0,0.0,0.0,3.9960000000001106,True
corr_dephase,2,1,0.0,0.0,0.0,3.9960000000001106,True
