channel,gamma,ratio_measured,ratio_exact,abs_dev
dephase,0.01,0.8507630225817578,0.8507630225817855,2.7644553313166398e-14
dephase,0.02,0.7213895789838232,0.7213895789838334,1.021405182655144e-14
dephase,0.035,0.5595818096650429,0.5595818096650398,3.1086244689504383e-15
dephase,0.05,0.4304672099999962,0.4304672100000001,3.885780586188048e-15
dephase,0.1,0.16777216000000014,0.1677721600000001,5.551115123125783e-17
dephase,0.2,0.016796160000000223,0.016796159999999994,2.2898349882893854e-16
dephase,0.3,0.0006553600000000676,0.0006553600000000003,6.722053469410127e-17
amp_damp,0.01,0.9414801494010003,0.941480149401,3.3306690738754696e-16
amp_damp,0.02,0.8858423808640001,0.8858423808639999,2.220446049250313e-16
amp_damp,0.035,0.8075396960820164,0.8075396960820155,8.881784197001252e-16
amp_damp,0.05,0.7350918906250009,0.7350918906249998,1.1102230246251565e-15
amp_damp,0.1,0.5314410000000012,0.531441,1.1102230246251565e-15
amp_damp,0.2,0.2621440000000003,0.2621440000000001,2.220446049250313e-16
amp_damp,0.3,0.11764900000000048,0.11764899999999996,5.134781488891349e-16
corr_dephase,0.01,0.9999999999999996,1.0,4.440892098500626e-16
corr_dephase,0.02,1.000000000000003,1.0,3.1086244689504383e-15
corr_dephase,0.035,1.0000000000000064,1.0,6.439293542825908e-15
corr_dephase,0.05,0.9999999999999925,1.0,7.549516567451064e-15
corr_dephase,0.1,1.000000000000004,1.0,3.9968028886505635e-15
corr_dephase,0.2,0.9999999999999989,1.0,1.1102230246251565e-15
corr_dephase,0.3,0.9999999999999996,1.0,4.440892098500626e-16
