depth,ell,q,size,rep,omega_pred
6,2,0,40,0,0.40017199709178664
6,2,0,40,1,0.37402758572422634
6,2,0,40,2,0.3319169204349631
6,2,0,40,3,0.40702947373401804
6,2,0,40,4,0.37429719566467085
6,2,0,40,5,0.3691921072338576
6,2,0,40,6,0.3475539342907498
6,2,0,40,7,0.29838218064267724
6,2,0,40,8,0.3820200604194688
6,2,0,40,9,0.3506216836953132
6,2,0,120,0,0.38707753700247216
6,2,0,120,1,0.39032753701321954
6,2,0,120,2,0.32710518830249385
6,2,0,120,3,0.39110157014355845
6,2,0,120,4,0.37830657962082725
6,2,0,120,5,0.3456848367474469
6,2,0,120,6,0.37660163401538044
6,2,0,120,7,0.3365223742563088
6,2,0,120,8,0.37592028134664257
6,2,0,120,9,0.35527824261653435
6,3,0,40,0,0.32832786570348754
6,3,0,40,1,0.30951527619422914
6,3,0,40,2,0.2584586056055381
6,3,0,40,3,0.3440727911208383
6,3,0,40,4,0.2860394164032815
6,3,0,40,5,0.30689331567958944
6,3,0,40,6,0.3021265355268051
6,3,0,40,7,0.2059080003869706
6,3,0,40,8,0.3249175392164282
6,3,0,40,9,0.2807963872581405
6,3,0,120,0,0.3211167016365727
6,3,0,120,1,0.3087379760745083
6,3,0,120,2,0.24765005064774048
6,3,0,120,3,0.3215167014309653
6,3,0,120,4,0.3035389601148638
6,3,0,120,5,0.281620604624568
6,3,0,120,6,0.3224387889223413
6,3,0,120,7,0.2566890932630101
6,3,0,120,8,0.31365291127086575
6,3,0,120,9,0.27866657314238646
